OBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,USE_,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,CHRONOLOGY,NOTES,DATE_EDITED,EDITED_BY,OCCUPANT,TENANT,LABEL
240,Shissler Recreation Center,Shissler Recreation Center,Shissler Recreation Center,1800-56 BLAIR ST,Land,Recreation Center, ,162992.75141291,3.74181367,19125, , , ,12Nov2013,Vanessa Miller,PPR,,Shissler
241,Sacks Playground,Sacks Playground,Sacks Playground,400 WASHINGTON AVE,Land,Recreation Site, ,162849.10647688,3.73851602,19147, , , ,12Nov2013,Vanessa Miller,PPR,,Sacks 
242,Moss Playground,Moss Playground,Moss Playground,5700 TORRESDALE AVE,Land,Recreation Site, ,161471.09039009,3.706881,19135, , , ,12Nov2013,Vanessa Miller,PPR,,Moss 
243,Rumph Playground,Rumph Playground,Rumph Playground,100-70 E JOHNSON ST,Land,Recreation Site, ,160300.81631151,3.68001509,19144, , , ,12Nov2013,Vanessa Miller,PPR,,Rumph
244,Emanuel Recreation Center ,Emanuel Recreation Center ,Emanuel Recreation Center ,8500 PICKERING AVE,Land,Recreation Center, ,160198.12595017,3.67765764,19150, , , ,12Nov2013,Vanessa Miller,PPR,,Emanuel
245,Francisville Playground,Francisville Playground,Francisville Playground,1737-39 FRANCIS ST,Land,Recreation Site, ,160029.0743143,3.67377673,19130, , , ,12Nov2013,Vanessa Miller,PPR,,Francisville 
246,Clara Muhammad Square,Clara Muhammad Square,Clara Muhammad Square,4700-30 LANCASTER AVE,Land,Park- Square\Plaza, ,156974.76528281,3.60365916,19131,Durham Park, , ,12Nov2013,Vanessa Miller,PPR,,Clara Muhammad Square
247,Harper's Hollow Park,Harper's Hollow Park,Harper's Hollow Park,5850 OGONTZ AVE,Land,Park- Mini, ,156433.53624027,3.59123421,19141, ,1917-1922, ,12Nov2013,Vanessa Miller,PPR,,Harper's Hollow Park
248,Deni Playground,Deni Playground,Deni Playground,1381 RUAN ST,Land,Recreation Site, ,154426.88465903,3.54516764,19124, , , ,12Nov2013,Vanessa Miller,PPR,,Deni 
249,Shuler Playground,Shuler Playground,Shuler Playground,2901 N 29TH ST,Land,Recreation Site, ,146425.42004544,3.36147855,19132, , , ,12Nov2013,Vanessa Miller,PPR,,Shuler 
250,Marian Anderson Recreation Center,Marian Anderson Recreation Center,Marian Anderson Recreation Center,740 S 17TH ST,Land,Recreation Center, ,146400.36943635,3.36090347,19146, , , ,12Nov2013,Vanessa Miller,PPR,,Anderson
251,Dickinson Square,Dickinson Square,Dickinson Square,1600 E MOYAMENSING AVE,Land,Park- Square\Plaza, ,145751.31132342,3.34600308,19148, , , ,12Nov2013,Vanessa Miller,PPR,,Dickinson Square
252,Disston Recreation Center,Disston Recreation Center,Disston Recreation Center,4423 LONGSHORE AVE,Land,Recreation Center, ,145227.59093105,3.33398007,19135, , , ,12Nov2013,Vanessa Miller,PPR,,Disston Park
253,Feltonville Recreation Center,Feltonville Recreation Center,Feltonville Recreation Center,231-37 E WYOMING AVE,Land,Recreation Center, ,142882.66613251,3.28014779,19120, , , ,12Nov2013,Vanessa Miller,PPR,,Feltonville
254,Palumbo Recreation Center,Palumbo Recreation Center,Palumbo Recreation Center,700 S 09TH ST,Land,Recreation Center, ,140307.41352309,3.22102789,19147, , , ,12Nov2013,Vanessa Miller,PPR,,Palumbo
255,Christy Recreation Center,Christy Recreation Center,Christy Recreation Center,728 S 55TH ST,Land,Recreation Center, ,137818.52790489,3.16389071,19143, , , ,12Nov2013,Vanessa Miller,PPR,,Christy
256,Jefferson Square,Jefferson Square,Jefferson Square,300 WASHINGTON AVE,Land,Park- Square\Plaza, ,136683.60525797,3.13783636,19147, , , ,12Nov2013,Vanessa Miller,PPR,,Jefferson Square
257,East Poplar Field,East Poplar Field,East Poplar Field,901-47 N 08TH ST,Land,Athletic,Multi-Use Sports Field,136494.95314746,3.13350549,19123, , , ,12Nov2013,Vanessa Miller,PPR,,East Poplar Field
258,63rd & Lindbergh Park,63rd & Lindbergh Park,63rd & Lindbergh Park,2800 S 63RD ST,Land,Park- Neighborhood, ,135984.44877964,3.12178588,19142, , , ,12Nov2013,Vanessa Miller,PPR,,63rd & Lindbergh Park
259,Cibotti Recreation Center,Cibotti Recreation Center,Cibotti Recreation Center,2500 S 77TH ST,Land,Recreation Center, ,135104.20306084,3.10157813,19153, , , ,12Nov2013,Vanessa Miller,PPR,,Cibotti 
260,Stinger Square Playground,Stinger Square Playground,Stinger Square Playground,1400 S 32ND ST,Land,Recreation Site, ,134760.83846702,3.09369554,19146, , , ,12Nov2013,Vanessa Miller,PPR,,Stinger Square 
261,Northwood Park,Northwood Park,Northwood Park,999 ARROTT ST,Land,Park- Neighborhood, ,257791.52478067,3.00624891,19124, , , ,12Nov2013,Vanessa Miller,PPR,,Northwood Park
262,Lower Mayfair Playground,Lower Mayfair Playground,Lower Mayfair Playground,3001 ROBBINS ST,Land,Recreation Site, ,130812.98391039,3.0030649,19149, , , ,12Nov2013,Vanessa Miller,PPR,,Lower Mayfair 
263,Pleasant Hill Park,Pleasant Hill Park,Pleasant Hill Park,9201 N DELAWARE AVE,Land,Park- Neighborhood, ,129510.74892077,2.97316958,19114, , , ,12Nov2013,Vanessa Miller,PPR,,Pleasanthill Park
264,Heitzman Playground,Heitzman Playground,Heitzman Playground,2136 CASTOR AVE,Land,Recreation Site, ,126803.92097161,2.91102911,19134, , , ,12Nov2013,Vanessa Miller,PPR,,Heitzman 
265,Fairhill Square,Fairhill Square,Fairhill Square,2601-61 N LAWRENCE ST,Land,Park- Square\Plaza, ,124693.80750189,2.86258738,19133, , , ,12Nov2013,Vanessa Miller,PPR,,Fairhill Square
266,Wister Playground,Wister Playground,Wister Playground,4971 BAYNTON ST,Land,Recreation Site, ,124329.80771791,2.85423106,19144, , , ,12Nov2013,Vanessa Miller,PPR,,Wister 
267,Chew Playground,Chew Playground,Chew Playground,1800 WASHINGTON AVE,Land,Recreation Site, ,123074.62477882,2.82541591,19146, , , ,12Nov2013,Vanessa Miller,PPR,,Chew 
268,Donald Finnegan Playground,Donald Finnegan Playground,Donald Finnegan Playground,1231 S 30TH ST,Land,Recreation Site, ,121983.69028617,2.8003714,19146, , , ,12Nov2013,Vanessa Miller,PPR,,Finnegan 
269,Kelly Park,Kelly Park,Kelly Park,440-42 PARKER AVE,Land,Park- Mini, ,121207.64720547,2.78255583,19128, , , ,12Nov2013,Vanessa Miller,PPR,,Kelly Park
270,Ramblers Ballfield,Ramblers Ballfield,Ramblers Ballfield,801-41 E ATLANTIC ST,Land,Athletic,Multi-Use Sports Field,118429.39650264,2.71877572,19134, , , ,12Nov2013,Vanessa Miller,PPR,,Ramblers Ballfield
271,Campbell Square,Campbell Square,Campbell Square,2525 E ALLEGHENY AVE,Land,Park- Square\Plaza, ,114587.7603695,2.63058353,19134,Allegheny Square, , ,12Nov2013,Vanessa Miller,PPR,,Campbell Square
272,Mill Creek Playground,Mill Creek Playground,Mill Creek Playground,743-81 N 48TH ST,Land,Recreation Site, ,114416.77448796,2.62665822,19139, , , ,12Nov2013,Vanessa Miller,PPR,,Mill Creek 
273,Morton Playground,Morton Playground,Morton Playground,88 E HAINES ST,Land,Recreation Site, ,114048.05984893,2.61819366,19144, , , ,12Nov2013,Vanessa Miller,PPR,,Morton 
274,Woodside Park,Woodside Park,Woodside Park,3910-18 CONSHOHOCKEN AVE,Land,Park- Neighborhood, ,113368.69244497,2.60259747,19131, , , ,12Nov2013,Vanessa Miller,PPR,,Woodside Park
275,Miles Mack Playground,Miles Mack Playground,Miles Mack Playground,732-66 N 36TH ST,Land,Recreation Site, ,112260.55192073,2.57715797,19104, , , ,12Nov2013,Vanessa Miller,PPR,,Miles Mack 
276,Cloverly Park,Cloverly Park,Cloverly Park,5425 WISSAHICKON AVE,Land,Park- Neighborhood, ,111294.09835848,2.55497116,19144, ,1913, ,12Nov2013,Vanessa Miller,PPR,,Cloverly Park
277,Clemente Playground,Clemente Playground,Clemente Playground,1800 WALLACE ST,Land,Recreation Site, ,110818.76868944,2.54405904,19130, , , ,12Nov2013,Vanessa Miller,PPR,,Clemente 
278,Juniata Park Older Adult Center,Juniata Park Older Adult Center,Juniata Park Older Adult Center,1231 E SEDGLEY AVE,Land,Older Adult Center, ,109603.43042276,2.51615861,19124, , , ,12Nov2013,Vanessa Miller,PPR,,Juniata Park Older Adult Center
279,Matthias Baldwin Park,Matthias Baldwin Park,Matthias Baldwin Park,423-33 N 19TH ST,Land,Park- Mini, ,108824.87970058,2.49828547,19130, ,1991, ,12Nov2013,Vanessa Miller,PPR,,Matthias Baldwin Park
280,Conestoga Playground,Conestoga Playground,Conestoga Playground,5200-300 MEDIA ST,Land,Recreation Site, ,107863.26224993,2.47620968,19131, , , ,12Nov2013,Vanessa Miller,PPR,,Conestoga 
281,Hetzell Playground,Hetzell Playground,Hetzell Playground,1301 E COLUMBIA AVE,Land,Recreation Site, ,107312.75469055,2.46357172,19125, , , ,12Nov2013,Vanessa Miller,PPR,,Hetzell 
282,Samuel Recreation Center,Samuel Recreation Center,Samuel Recreation Center,2501 E TIOGA ST,Land,Recreation Center, ,106291.56083096,2.44012824,19134,Fox Square, , ,12Nov2013,Vanessa Miller,PPR,,Samuel
283,Dorsey Playground,Dorsey Playground,Dorsey Playground,6501 HEGERMAN ST,Land,Recreation Site, ,105862.05676781,2.43026814,19135, , , ,12Nov2013,Vanessa Miller,PPR,,Dorsey 
284,John F. Kennedy Plaza,John F. Kennedy Plaza,Benjamin Franklin Parkway,1501 JOHN F KENNEDY BLV,Land,Park- Square\Plaza, ,102623.58287842,2.35592271,19102, ,1917-1928, ,12Nov2013,Vanessa Miller,PPR,,JFK Plaza (Love Park)
285,12th & Cambria Playground,12th & Cambria Playground,12th & Cambria Playground,1149 W CAMBRIA ST,Land,Recreation Site, ,102992.79714995,2.36439874,19133, , , ,12Nov2013,Vanessa Miller,PPR,,12th & Cambria 
286,Starr Garden Playground,Starr Garden Playground,Starr Garden Playground,600-44 LOMBARD ST,Land,Recreation Site, ,94391.59852468,2.1669416,19147, , , ,12Nov2013,Vanessa Miller,PPR,,Starr Garden 
287,Womrath Park,Womrath Park,Womrath Park,4098 FRANKFORD AVE,Land,Park- Mini, ,94360.39433476,2.16622525,19124, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,Police Athletic League of Phila.,Womrath Park
288,Guerin Recreation Center,Guerin Recreation Center,Guerin Recreation Center,2201 S 16TH ST,Land,Recreation Center, ,91081.14099776,2.09094365,19145, , , ,12Nov2013,Vanessa Miller,PPR,,Guerin
289,Clarkson Park,Clarkson Park,Clarkson Park,5401-55 N BROAD ST,Land,Park- Mini, ,89765.75079731,2.06074632,19141, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,Albert Einstein Health Network,Clarkson Park
290,Foglietta Plaza,I-95 Park,I-95 Park,109 SPRUCE ST,Land,Park- Linear\Parkway, ,89616.8354772,2.05732768,19106, ,1976, ,12Nov2013,Vanessa Miller,Lessee/Tenants,Phila Vietnam Veterans Memorial Advisory Fund,Foglietta Plaza
291,South Philadelphia Older Adults Center,South Philadelphia Older Adults Center,South Philadelphia Older Adults Center,1430 E PASSYUNK AVE,Land,Older Adult Center, ,88759.17895271,2.03763852,19147, , , ,12Nov2013,Vanessa Miller,PPR,,South Philadelphia Older Adults Center
292,Manayunk Park,Manayunk Park,Manayunk Park,4300 SILVERWOOD ST,Land,Park- Neighborhood, ,88196.98772137,2.02473233,19127, , , ,12Nov2013,Vanessa Miller,PPR,,Manayunk Park
293,DiSilvestro Playground,DiSilvestro Playground,DiSilvestro Playground,1700 S BROAD ST,Land,Recreation Site, ,86716.11918925,1.99073614,19145, , , ,12Nov2013,Vanessa Miller,PPR,,DiSilvestro
294,Penrose Playground,Penrose Playground,Penrose Playground,1101 W SUSQUEHANNA AVE,Land,Recreation Site, ,85569.50464196,1.96441338,19133, , , ,12Nov2013,Vanessa Miller,PPR,,Penrose 
295,Seger Park Playground,Seger Park Playground,Seger Park Playground,1000-42 LOMBARD ST,Land,Recreation Site, ,83472.61409846,1.91627521,19147, , , ,12Nov2013,Vanessa Miller,PPR,,Seger Park 
296,Cassiano Park,Cassiano Park,Cassiano Park,2301 N 04TH ST,Land,Park- Neighborhood, ,81415.94847178,1.86906047,19133, , , ,12Nov2013,Vanessa Miller,PPR,,Cassiano Park
297,Venice Island Playground,Venice Island Playground,Venice Island Playground,1 RECTOR ST,Land,Recreation Site, ,78450.07782326,4.57846465,19127, , , ,08Aug2016,Nora Dougherty,PPR,,Venice Island 
298,Hancock Playground,Hancock Playground,Hancock Playground,147 MASTER ST,Land,Recreation Site, ,78054.32640091,1.79188794,19122, , , ,12Nov2013,Vanessa Miller,PPR,,Hancock 
299,Sayre-Morris Recreation Center,Sayre-Morris Recreation Center,Sayre-Morris Recreation Center,5825 SPRUCE ST,Land,Recreation Center, ,75676.89646089,1.73730944,19139, , , ,12Nov2013,Vanessa Miller,PPR,,Sayre-Morris
300,Burke Playground,Burke Playground,Burke Playground,200 SNYDER AVE,Land,Recreation Site, ,74678.21541183,1.71438279,19148, , , ,12Nov2013,Vanessa Miller,PPR,,Burke 
301,Kay Park,Kay Park,Kay Park,4712 PULASKI AVE,Land,Park- Mini, ,74370.76075646,1.70732457,19144, ,???, ,12Nov2013,Vanessa Miller,PPR,,Kay Park
302,Wissahickon Playground,Wissahickon Playground,Wissahickon Playground,5326 PULASKI AVE,Land,Recreation Site, ,73491.02471586,1.68712853,19144,Kelly Playground, , ,12Nov2013,Vanessa Miller,PPR,,Wissahickon Playground
303,Sherwood Park,Sherwood Park,Sherwood Park,5601 BALTIMORE AVE,Land,Park- Mini, ,71577.44345231,1.64319857,19143, , , ,12Nov2013,Vanessa Miller,PPR,,Sherwood Park
304,Howell Park,Howell Park,Howell Park,5215 GREENE ST,Land,Park- Mini, ,67196.07717946,1.54261584,19144, , , ,12Nov2013,Vanessa Miller,PPR,,Howell Park
305,39th & Olive Playground,39th & Olive Playground,39th & Olive Playground,700-14 N 39TH ST,Land,Recreation Site, ,65759.84041525,1.50964425,19104, , , ,12Nov2013,Vanessa Miller,PPR,,39th & Olive 
306,Towey Playground,Towey Playground,Towey Playground,1832-50 N HOWARD ST,Land,Recreation Site, ,63247.90477987,1.45197791,19122, , , ,12Nov2013,Vanessa Miller,PPR,,Towey 
307,Fishtown Recreation Center,Fishtown Recreation Center,Fishtown Recreation Center,1202-32 E MONTGOMERY AVE,Land,Recreation Center, ,63148.1344777,1.44968749,19125,Lederer Recreation Center, , ,12Nov2013,Vanessa Miller,PPR,,Fishtown
308,Shot Tower Playground,Shot Tower Playground,Shot Tower Playground,101-31 CARPENTER ST,Land,Recreation Site, ,62981.70786888,1.44586685,19147, , , ,12Nov2013,Vanessa Miller,PPR,,Shot Tower 
309,Hissey Playground,Hissey Playground,Hissey Playground,400-32 E INDIANA AVE,Land,Recreation Site, ,62663.59156148,1.43856387,19134, , , ,12Nov2013,Vanessa Miller,PPR,,Hissey 
310,Shevchenko Park,Shevchenko Park,Shevchenko Park,5301 N BROAD ST,Land,Park- Mini, ,57307.52540516,1.31560502,19141, , , ,12Nov2013,Vanessa Miller,PPR,,Shevchenko Park
311,Jerome Brown Playground,Jerome Brown Playground,Jerome Brown Playground,1927-41 W ONTARIO ST,Land,Recreation Site, ,56399.20354874,1.29475274,19140,Kenderton Park Playground, , ,12Nov2013,Vanessa Miller,PPR,,"Kenderton 
"
312,Inn Yard Park,Inn Yard Park,East Fairmount Park,4208-52 RIDGE AVE,Land,Park- Neighborhood, ,56011.39041238,1.28584974,19129, ,1844, ,26Jun2014,Nora Dougherty,PPR,,Inn Yard Park
313,Rizzo Ice Rink,Rizzo Ice Rink,Rizzo Ice Rink,1101 S FRONT ST,Land,Ice Rink, ,55675.09458859,1.27812941,19147, , , ,12Nov2013,Vanessa Miller,PPR,,Rizzo Rink
314,Lovett Park,Lovett Park,Lovett Park,6923-45 GERMANTOWN AVE,Land,Park- Mini, ,53418.35091894,1.2263215,19119, , , ,12Nov2013,Vanessa Miller,PPR,,Lovett Park
315,Kelly Pool,Kelly Pool,West Fairmount Park,4200 LANSDOWNE DR,Land,Pool, ,52834.00983543,1.21290682,19131, ,1866, ,12Nov2013,Vanessa Miller,PPR,,Kelly Pool
316,30th & Jefferson Playground,30th & Jefferson Playground,30th & Jefferson Playground,3001-15 JEFFERSON ST,Land,Recreation Site, ,52552.63786124,1.20644738,19121, , , ,12Nov2013,Vanessa Miller,PPR,,30th & Jefferson 
317,20th & Tioga Ballfield,20th & Tioga Ballfield,20th & Tioga Ballfield,2001 W TIOGA ST,Land,Athletic,Baseball Field,52236.78459123,1.19919636,19140, , , ,12Nov2013,Vanessa Miller,PPR,,20th & Tioga Ballfield
318,Herron Playground,Herron Playground,Herron Playground,1322 S 02ND ST,Land,Recreation Site, ,48781.51391751,1.11987394,19147, , , ,12Nov2013,Vanessa Miller,PPR,,Herron 
319,Buist Park,Buist Park,Buist Park,2528 HOBSON ST,Land,Park- Mini, ,48206.54856606,1.1066745,19142, , , ,12Nov2013,Vanessa Miller,PPR,,Buist Park
320,Pop's Playground,Pop's Playground,Pop's Playground,2150-72 E HUNTINGDON ST,Land,Recreation Site, ,47141.85527411,1.08223241,19125, , , ,12Nov2013,Vanessa Miller,PPR,,Pop's 
321,Deritis Playground,Deritis Playground,Deritis Playground,5655 GRAYS AVE,Land,Recreation Site, ,45832.18008456,1.05216629,19143, , , ,12Nov2013,Vanessa Miller,PPR,,Deritis 
322,Amos Playground,Amos Playground,Amos Playground,1817-59 N 16TH ST,Land,Recreation Site, ,45796.1857222,1.05133997,19121, , , ,12Nov2013,Vanessa Miller,PPR,,Amos
323,Fairview Park,Fairview Park,Fairview Park,4418 MANAYUNK AVE,Land,Park- Mini, ,44634.67041635,1.02467514,19128, , , ,12Nov2013,Vanessa Miller,PPR,,Fairview Park
324,Hawthorne Cultural Center,Hawthorne Cultural Center,Hawthorne Cultural Center,1200 CARPENTER ST,Land,Recreation Center, ,44622.98953626,1.02440698,19147, , , ,12Nov2013,Vanessa Miller,PPR,,Hawthorne Cultural Center
325,Winston Park,Winston Park,Winston Park,181-85 E WILLOW GROVE AVE,Land,Park- Mini, ,44448.29937953,1.02039663,19118, ,, ,12Nov2013,Vanessa Miller,PPR,,Winston Park
326,Konrad Square,Konrad Square,Konrad Square,2200-26 E DAUPHIN ST,Land,Park- Mini, ,44277.61043489,1.01647813,19125, , , ,12Nov2013,Vanessa Miller,PPR,,Konrad Square Park
327,Ridgway Pool,Ridgway Pool,Ridgway Pool,1301 CARPENTER ST,Land,Pool, ,43921.72714174,1.00830815,19147, , , ,12Nov2013,Vanessa Miller,PPR,,Ridgway Pool
328,Lincoln Pool,Lincoln Pool,Lincoln Pool,7437 ROWLAND AVE,Land,Pool, ,43486.31083146,0.99831232,19136, , , ,12Nov2013,Vanessa Miller,PPR,,Lincoln Pool
329,Woodward Pines,Woodward Pines,Woodward Pines,7930-34 LINCOLN DR,Land,Park- Community, ,42815.29764496,0.98290792,19118, ,1915, ,12Nov2013,Vanessa Miller,PPR,,Woodward Pines
330,33rd & Wallace Playground,33rd & Wallace Playground,33rd & Wallace Playground,3300-26 WALLACE ST,Land,Recreation Site, ,41053.79382022,0.94246919,19104, , , ,12Nov2013,Vanessa Miller,PPR,,33rd & Wallace 
331,Nichols Park,Nichols Park,Nichols Park,5430-46 RACE ST,Land,Park- Mini, ,39498.32390538,0.90676037,19139, , , ,12Nov2013,Vanessa Miller,PPR,,Nichols Park
332,Weccacoe Playground,Weccacoe Playground,Weccacoe Playground,405-25 QUEEN ST,Land,Recreation Site, ,39436.58837139,0.90534312,19147, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,Queen Village Neighbors Assn,Weccacoe 
333,Frankford & Pennypack Park,Frankford & Pennypack Park,Frankford & Pennypack Park,4400 PENNYPACK ST,Land,Park- Mini, ,39304.26083569,0.90230528,19136, , , ,12Nov2013,Vanessa Miller,PPR,,Frankford & Pennypack Park
334,Powers Park,Powers Park,Powers Park,2987 ALMOND ST,Land,Park- Mini, ,39037.56010314,0.89618265,19134, , , ,12Nov2013,Vanessa Miller,PPR,,Powers Park
335,Gold Star Park,Gold Star Park,Gold Star Park,613 WHARTON ST,Land,Park- Mini, ,38456.75487883,0.88284914,19147, , , ,12Nov2013,Vanessa Miller,PPR,,Gold Star Park
336,Hawthorne Park,Hawthorne Park,Hawthorne Park,750 S 12TH ST,Land,Park- Neighborhood, ,38278.54627281,0.87875802,19147, ,2010, ,12Nov2013,Vanessa Miller,Lessee/Tenants,"PHA, partnered with",Hawthorne Park
337,Pickett Pool,Pickett Pool,Pickett Pool,5700 WAYNE AVE,Land,Pool, ,37419.36289727,0.85903381,19144, , , ,12Nov2013,Vanessa Miller,PPR,,Pickett Pool
338,East Passyunk Community Recreation Center,East Passyunk Community Recreation Center,East Passyunk Community Recreation Center,1025-33 MIFFLIN ST,Land,Park- Mini, ,37051.44865397,0.85058762,19148, , , ,12Nov2013,Vanessa Miller,PPR,,Tolentine Community Park
339,Stokely Playground,Stokely Playground,Stokely Playground,3000 EDGEMONT ST,Land,Recreation Site, ,37000.5012277,0.84941803,19134, , , ,12Nov2013,Vanessa Miller,PPR,,Stokely 
340,Cedar Park,Cedar Park,Cedar Park,4917-53 BALTIMORE AVE,Land,Park- Mini, ,36468.98344274,0.83721601,19143, , , ,12Nov2013,Vanessa Miller,PPR,,Cedar Park
341,Waterloo Playground,Waterloo Playground,Waterloo Playground,2502-12 N HOWARD ST,Land,Recreation Site, ,47710.83619497,1.09529447,19133, , , ,12Nov2013,Vanessa Miller,PPR,,Waterloo 
342,75th & Chelwynde Park,75th & Chelwynde Park,75th & Chelwynde Park,2604 ISLAND AVE,Land,Park- Mini, ,35977.86833248,0.82594151,19153, , , ,12Nov2013,Vanessa Miller,PPR,,75th & Chelwynde Park
343,Tip Top Playground,Tip Top Playground,Tip Top Playground,1036-66 N FRONT ST,Land,Recreation Site, ,35779.21076966,0.82138094,19123, , , ,12Nov2013,Vanessa Miller,PPR,,Tip Top 
344,Palmer Park,Palmer Park,Palmer Park,1701-21 FRANKFORD AVE,Land,Park- Mini, ,35730.29992486,0.8202581,19125, ,1915, ,12Nov2013,Vanessa Miller,PPR,,Palmer Park
345,Trenton & Auburn Playground,Trenton & Auburn Playground,Trenton & Auburn Playground,2222 E AUBURN ST,Land,Recreation Site, ,35541.21189039,0.81591722,19134, , , ,12Nov2013,Vanessa Miller,PPR,,Trenton & Auburn 
346,Ford Recreation Center,Ford Recreation Center,Ford Recreation Center,609-39 SNYDER AVE,Land,Recreation Center, ,34114.64425786,0.7831676,19148, , , ,12Nov2013,Vanessa Miller,PPR,,Ford
347,Ben Barkan Park,Ben Barkan Park,Ben Barkan Park,4936-58 SPRUCE ST,Land,Park- Mini, ,33819.81622401,0.77639925,19143, , , ,12Nov2013,Vanessa Miller,PPR,,Ben Barkan Park
348,Baker Playground,Baker Playground,Baker Playground,5433 LANSDOWNE AVE,Land,Recreation Site, ,33066.87377852,0.759114,19131, , , ,12Nov2013,Vanessa Miller,PPR,,Baker 
349,8th & Diamond Playground,8th & Diamond Playground,8th & Diamond Playground,2032-62 N 08TH ST,Land,Recreation Site, ,31618.60798987,0.72586626,19122, , , ,12Nov2013,Vanessa Miller,PPR,,8th & Diamond 
350,Nelson Playground,Nelson Playground,Nelson Playground,2500-34 N 03RD ST,Land,Recreation Site, ,31567.85830027,0.72470121,19133, , , ,12Nov2013,Vanessa Miller,PPR,,Nelson 
351,Fitler Square,Fitler Square,Fitler Square,2301-23 PINE ST,Land,Park- Square\Plaza, ,31364.36431834,0.72002961,19103, , , ,12Nov2013,Vanessa Miller,PPR,,Fitler Square
352,Panati Playground,Panati Playground,Panati Playground,3101-27 N 22ND ST,Land,Recreation Site, ,30553.95436083,0.70142508,19132, , , ,12Nov2013,Vanessa Miller,PPR,,Panati 
353,Duckrey Playground,Duckrey Playground,Duckrey Playground,1501-43 DIAMOND ST,Land,Recreation Site, ,29898.61635721,0.68638053,19121, , , ,12Nov2013,Vanessa Miller,PPR,,Duckrey 
354,Veterans Playground,Veterans Playground,Veterans Playground,800 W CUMBERLAND ST,Land,Recreation Site, ,28805.70526036,0.66129064,19133, , , ,12Nov2013,Vanessa Miller,PPR,,Veterans 
355,Heritage Park Playground,Heritage Park Playground,Heritage Park Playground,1517-33 W CLEARFIELD ST,Land,Recreation Site, ,28505.45887357,0.65439791,19132, , , ,12Nov2013,Vanessa Miller,PPR,,Heritage Park 
356,Glavin Playground,Glavin Playground,Glavin Playground,3267-81 ALMOND ST,Land,Recreation Site, ,27885.18000242,0.64015821,19134, , , ,12Nov2013,Vanessa Miller,PPR,,Glavin 
357,Winchester Playground,Winchester Playground,Winchester Playground,2326 N 15TH ST,Land,Recreation Site, ,27492.60460585,0.63114588,19132, , , ,12Nov2013,Vanessa Miller,PPR,,Winchester 
358,Triangle Park,Triangle Park,Triangle Park,5425R-65 UPLAND WAY,Land,Park- Mini, ,27252.10711302,0.6256248,19131, ,2010, ,12Nov2013,Vanessa Miller,PPR,,Triangle Park
359,Cianfrani Park,Cianfrani Park,Cianfrani Park,721 S 08TH ST,Land,Park- Square\Plaza, ,26979.58007011,0.61936841,19147, , , ,12Nov2013,Vanessa Miller,PPR,,Cianfrani Park
360,Garden Court,Garden Court,Garden Court,4700-10 SPRUCE ST,Land,Park- Mini, ,25382.17291294,0.58269684,19143, , , ,12Nov2013,Vanessa Miller,PPR,,Garden Court
361,Clayborn & Lewis Playground,Clayborn & Lewis Playground,Clayborn & Lewis Playground,1101 N 38TH ST,Land,Recreation Site, ,25282.4419713,0.58040733,19104, , , ,12Nov2013,Vanessa Miller,PPR,,Clayborn & Lewis
362,Merritt Square,Merritt Square,Merritt Square,1321 STEINBER ST,Land,Park- Square\Plaza, ,24566.72590158,0.56397668,19124, , , ,12Nov2013,Vanessa Miller,PPR,,Merritt Square Park
363,Maguire Playground,Maguire Playground,Maguire Playground,155-59 W LEHIGH AVE,Land,Recreation Site, ,24547.1083156,0.56352632,19133, , , ,12Nov2013,Vanessa Miller,PPR,,Maguire 
364,La Noce Park,La Noce Park,La Noce Park,5119 ROCHELLE AVE,Land,Park- Neighborhood, ,22588.37303855,0.51855977,19128, ,???, ,12Nov2013,Vanessa Miller,PPR,,La Noce Park
365,Mario Lanza Park,Mario Lanza Park,Mario Lanza Park,214 CATHARINE ST,Land,Park- Mini, ,22445.80183099,0.51528677,19147, , , ,12Nov2013,Vanessa Miller,PPR,,Mario Lanza Park
366,37th & Mt Vernon Playground,37th & Mt Vernon Playground,37th & Mt Vernon Playground,608-16 N 37TH ST,Land,Recreation Site, ,21398.24783321,0.49123814,19104, , , ,12Nov2013,Vanessa Miller,PPR,,37th & Mt Vernon 
367,Wright Recreation Center,James L Wright Recreation Center,James L Wright Recreation Center,3320-50 HAVERFORD AVE,Land,Recreation Center, ,21338.31778349,0.48986233,19104,Mantua Recreation Center, , ,12Nov2013,Vanessa Miller,PPR,,Wright 
368,Hagert Playground,Hagert Playground,Hagert Playground,2024-40 E HAGERT ST,Land,Recreation Site, ,21333.71126457,0.48975658,19125, , , ,12Nov2013,Vanessa Miller,PPR,,Hagert 
369,Mollbore Terrace Park,Mollbore Terrace Park,Mollbore Terrace Park,1226 MOLLBORE TER,Land,Park- Mini, ,21003.17788969,0.48216855,19148, , , ,12Nov2013,Vanessa Miller,PPR,,Mollbore Terrace Park
370,Ramblers Playground,Ramblers Playground,Ramblers Playground,851 E TIOGA ST,Land,Recreation Site, ,20012.23956095,0.45941964,19134, , , ,12Nov2013,Vanessa Miller,PPR,,Ramblers Ballfield
